72
# x y z
0	0	0
1.5	0	0
3	0	0
4.5	0	0
6	0	0
7.5	0	0
9	0	0
10.5	0	0
12	0	0
13.5	0	0
15	0	0
16.5	0	0
18	0	0
19.5	0	0
21	0	0
22.5	0	0
24	0	0
25.5	0	0
27	0	0
28.5	0	0
30	0	0
31.5	0	0
33	0	0
34.5	0	0
36	0	0
37.5	0	0
39	0	0
40.5	0	0
42	0	0
43.5	0	0
45	0	0
46.5	0	0
48	0	0
49.5	0	0
51	0	0
52.5	0	0
54	0	0
55.5	0	0
57	0	0
58.5	0	0
60	0	0
61.5	0	0
63	0	0
64.5	0	0
66	0	0
67.5	0	0
69	0	0
70.5	0	0
72	0	0
73.5	0	0
75	0	0
76.5	0	0
78	0	0
79.5	0	0
81	0	0
82.5	0	0
84	0	0
85.5	0	0
87	0	0
88.5	0	0
90	0	0
91.5	0	0
93	0	0
94.5	0	0
96	0	0
97.5	0	0
99	0	0
100.5	0	0
102	0	0
103.5	0	0
105	0	0
106.5	0	0
2352
# a b m n err i ip iperr k r rhoa u valid 
1	2	3	4	3.00474066945064e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.84154651903577e+01	0.00000000000000e+00	2.99698866227952e+01	-1.05470336037170e+00	1
1	3	5	7	3.00949833449231e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.65791472602584e+01	0.00000000000000e+00	2.97837201385503e+01	-5.26408077547515e-01	1
1	4	7	10	3.01437210889276e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.46867328608337e+01	0.00000000000000e+00	2.94621803566578e+01	-3.47896055986399e-01	1
1	5	9	13	3.01940371610050e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13383404749821e+02	0.00000000000000e+00	2.92169304484112e+01	-2.57682599255843e-01	1
1	6	11	16	3.02425084567168e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.42276579659014e+02	0.00000000000000e+00	2.93343542706206e+01	-2.06178376939651e-01	1
1	7	13	19	3.02855008612190e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.71425742886640e+02	0.00000000000000e+00	3.00219309592802e+01	-1.75130820224200e-01	1
1	8	15	22	3.03205223150756e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.00404293901274e+02	0.00000000000000e+00	3.12621437689926e+01	-1.55995378943294e-01	1
2	3	4	5	3.00474695019416e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.84483387020522e+01	0.00000000000000e+00	2.99648590552329e+01	-1.05330787041956e+00	1
2	4	6	8	3.00948116498897e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.64315434604544e+01	0.00000000000000e+00	2.97598151314247e+01	-5.27361353358685e-01	1
2	5	8	11	3.01437527556865e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.45672134726659e+01	0.00000000000000e+00	2.94141190785562e+01	-3.47819419260676e-01	1
2	6	10	14	3.01939985229997e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.13069063621913e+02	0.00000000000000e+00	2.91417331105411e+01	-2.57733920995286e-01	1
2	7	12	17	3.02427302909233e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.41937370729531e+02	0.00000000000000e+00	2.92376716127207e+01	-2.05989947978074e-01	1
2	8	14	20	3.02853762775386e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.70693507853290e+02	0.00000000000000e+00	2.99067444087386e+01	-1.75207275220118e-01	1
2	9	16	23	3.03209844930780e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.99568981546603e+02	0.00000000000000e+00	3.10870129009830e+01	-1.55770764875721e-01	1
3	4	5	6	3.00474429512234e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.84292694942677e+01	0.00000000000000e+00	2.99615314405862e+01	-1.05389733797513e+00	1
3	5	7	9	3.00948730250102e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-5.64433975551364e+01	0.00000000000000e+00	2.97468103020205e+01	-5.27020193512669e-01	1
3	6	9	12	3.01437757662689e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-8.44930885981697e+01	0.00000000000000e+00	2.93836335534300e+01	-3.47763752526222e-01	1
3	7	11	15	3.01939564210333e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.12833173220746e+02	0.00000000000000e+00	2.90872487282479e+01	-2.57789867092915e-01	1
3	8	13	18	3.02426232618898e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.41551870055136e+02	0.00000000000000e+00	2.91711250093194e+01	-2.06080816862094e-01	1
3	9	15	21	3.02852947773108e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.70184997512424e+02	0.00000000000000e+00	2.98261677126692e+01	-1.75257326724653e-01	1
3	10	17	24	3.03215690872659e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.99006463686247e+02	0.00000000000000e+00	3.09430339492973e+01	-1.55487582544464e-01	1
4	5	6	7	3.00474544906687e-02	1.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-2.84346812862795e+01	0.00000000000000e+00	2.99599478211703e+01	-1.05364106316278e+00	1
