32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
166
# A B M N
6 7 25 26
5 8 25 26
4 9 25 26
3 10 25 26
2 11 25 26
1 12 25 26
8 9 26 27
7 10 26 27
6 11 26 27
5 12 26 27
4 13 26 27
3 14 26 27
2 15 26 27
1 16 26 27
10 11 27 28
9 12 27 28
8 13 27 28
7 14 27 28
6 15 27 28
5 16 27 28
4 17 27 28
3 18 27 28
2 19 27 28
1 20 27 28
12 13 28 29
11 14 28 29
10 15 28 29
9 16 28 29
8 17 28 29
7 18 28 29
6 19 28 29
5 20 28 29
4 21 28 29
3 22 28 29
2 23 28 29
1 24 28 29
14 15 29 30
13 16 29 30
12 17 29 30
11 18 29 30
10 19 29 30
9 20 29 30
8 21 29 30
7 22 29 30
6 23 29 30
5 24 29 30
16 17 30 31
15 18 30 31
14 19 30 31
13 20 30 31
12 21 30 31
11 22 30 31
10 23 30 31
9 24 30 31
18 19 31 32
17 20 31 32
16 21 31 32
15 22 31 32
14 23 31 32
13 24 31 32
5 7 25 26
4 7 25 26
3 7 25 26
2 7 25 26
1 7 25 26
7 9 26 27
6 9 26 27
5 9 26 27
4 9 26 27
3 9 26 27
2 9 26 27
1 9 26 27
9 11 27 28
8 11 27 28
7 11 27 28
6 11 27 28
5 11 27 28
4 11 27 28
3 11 27 28
2 11 27 28
1 11 27 28
11 13 28 29
10 13 28 29
9 13 28 29
8 13 28 29
7 13 28 29
6 13 28 29
5 13 28 29
4 13 28 29
3 13 28 29
2 13 28 29
1 13 28 29
13 15 29 30
12 15 29 30
11 15 29 30
10 15 29 30
9 15 29 30
8 15 29 30
7 15 29 30
6 15 29 30
5 15 29 30
15 17 30 31
14 17 30 31
13 17 30 31
12 17 30 31
11 17 30 31
10 17 30 31
9 17 30 31
17 19 31 32
16 19 31 32
15 19 31 32
14 19 31 32
13 19 31 32
6 8 25 26
6 9 25 26
6 10 25 26
6 11 25 26
6 12 25 26
8 10 26 27
8 11 26 27
8 12 26 27
8 13 26 27
8 14 26 27
8 15 26 27
8 16 26 27
10 12 27 28
10 13 27 28
10 14 27 28
10 15 27 28
10 16 27 28
10 17 27 28
10 18 27 28
10 19 27 28
10 20 27 28
12 14 28 29
12 15 28 29
12 16 28 29
12 17 28 29
12 18 28 29
12 19 28 29
12 20 28 29
12 21 28 29
12 22 28 29
12 23 28 29
12 24 28 29
14 16 29 30
14 17 29 30
14 18 29 30
14 19 29 30
14 20 29 30
14 21 29 30
14 22 29 30
14 23 29 30
14 24 29 30
16 18 30 31
16 19 30 31
16 20 30 31
16 21 30 31
16 22 30 31
16 23 30 31
16 24 30 31
18 20 31 32
18 21 31 32
18 22 31 32
18 23 31 32
18 24 31 32
