32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
144
# A B M N
25 27 26 1
25 27 26 2
25 27 26 3
25 27 26 4
25 27 26 5
25 27 26 6
25 27 26 7
25 27 26 8
25 27 26 9
25 27 26 10
25 27 26 11
25 27 26 12
25 27 26 13
25 27 26 14
25 27 26 15
25 27 26 16
25 27 26 17
25 27 26 18
25 27 26 19
25 27 26 20
25 27 26 21
25 27 26 22
25 27 26 23
25 27 26 24
26 28 27 1
26 28 27 2
26 28 27 3
26 28 27 4
26 28 27 5
26 28 27 6
26 28 27 7
26 28 27 8
26 28 27 9
26 28 27 10
26 28 27 11
26 28 27 12
26 28 27 13
26 28 27 14
26 28 27 15
26 28 27 16
26 28 27 17
26 28 27 18
26 28 27 19
26 28 27 20
26 28 27 21
26 28 27 22
26 28 27 23
26 28 27 24
27 29 28 1
27 29 28 2
27 29 28 3
27 29 28 4
27 29 28 5
27 29 28 6
27 29 28 7
27 29 28 8
27 29 28 9
27 29 28 10
27 29 28 11
27 29 28 12
27 29 28 13
27 29 28 14
27 29 28 15
27 29 28 16
27 29 28 17
27 29 28 18
27 29 28 19
27 29 28 20
27 29 28 21
27 29 28 22
27 29 28 23
27 29 28 24
28 30 29 1
28 30 29 2
28 30 29 3
28 30 29 4
28 30 29 5
28 30 29 6
28 30 29 7
28 30 29 8
28 30 29 9
28 30 29 10
28 30 29 11
28 30 29 12
28 30 29 13
28 30 29 14
28 30 29 15
28 30 29 16
28 30 29 17
28 30 29 18
28 30 29 19
28 30 29 20
28 30 29 21
28 30 29 22
28 30 29 23
28 30 29 24
29 31 30 1
29 31 30 2
29 31 30 3
29 31 30 4
29 31 30 5
29 31 30 6
29 31 30 7
29 31 30 8
29 31 30 9
29 31 30 10
29 31 30 11
29 31 30 12
29 31 30 13
29 31 30 14
29 31 30 15
29 31 30 16
29 31 30 17
29 31 30 18
29 31 30 19
29 31 30 20
29 31 30 21
29 31 30 22
29 31 30 23
29 31 30 24
30 32 31 1
30 32 31 2
30 32 31 3
30 32 31 4
30 32 31 5
30 32 31 6
30 32 31 7
30 32 31 8
30 32 31 9
30 32 31 10
30 32 31 11
30 32 31 12
30 32 31 13
30 32 31 14
30 32 31 15
30 32 31 16
30 32 31 17
30 32 31 18
30 32 31 19
30 32 31 20
30 32 31 21
30 32 31 22
30 32 31 23
30 32 31 24
