32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
655
# A B M N
9 31 17 27
8 31 17 27
7 31 17 27
6 31 17 27
5 31 17 27
4 31 17 27
3 31 17 27
2 31 17 27
1 31 17 27
9 32 19 27
8 32 19 27
7 32 19 27
6 32 19 27
5 32 19 27
4 32 19 27
3 32 19 27
2 32 19 27
1 32 19 27
11 29 13 28
10 29 13 28
9 29 13 28
8 29 13 28
7 29 13 28
6 29 13 28
5 29 13 28
4 29 13 28
3 29 13 28
2 29 13 28
11 30 15 28
10 30 15 28
9 30 15 28
8 30 15 28
7 30 15 28
6 30 15 28
5 30 15 28
4 30 15 28
3 30 15 28
2 30 15 28
11 31 17 28
10 31 17 28
9 31 17 28
8 31 17 28
7 31 17 28
6 31 17 28
5 31 17 28
4 31 17 28
3 31 17 28
2 31 17 28
11 32 19 28
10 32 19 28
9 32 19 28
8 32 19 28
7 32 19 28
6 32 19 28
5 32 19 28
4 32 19 28
3 32 19 28
2 32 19 28
13 30 15 29
12 30 15 29
11 30 15 29
10 30 15 29
9 30 15 29
8 30 15 29
7 30 15 29
6 30 15 29
5 30 15 29
4 30 15 29
13 31 17 29
12 31 17 29
11 31 17 29
10 31 17 29
9 31 17 29
8 31 17 29
7 31 17 29
6 31 17 29
5 31 17 29
4 31 17 29
13 32 19 29
12 32 19 29
11 32 19 29
10 32 19 29
9 32 19 29
8 32 19 29
7 32 19 29
6 32 19 29
5 32 19 29
4 32 19 29
15 31 17 30
14 31 17 30
13 31 17 30
12 31 17 30
11 31 17 30
10 31 17 30
9 31 17 30
8 31 17 30
7 31 17 30
6 31 17 30
15 32 19 30
14 32 19 30
13 32 19 30
12 32 19 30
11 32 19 30
10 32 19 30
9 32 19 30
8 32 19 30
7 32 19 30
6 32 19 30
17 32 19 31
16 32 19 31
15 32 19 31
14 32 19 31
13 32 19 31
12 32 19 31
11 32 19 31
10 32 19 31
9 32 19 31
8 32 19 31
6 26 8 25
6 26 9 25
6 26 10 25
6 26 11 25
6 26 12 25
6 26 13 25
6 26 14 25
6 26 15 25
6 26 16 25
6 26 17 25
6 27 10 25
6 27 11 25
6 27 12 25
6 27 13 25
6 27 14 25
6 27 15 25
6 27 16 25
6 27 17 25
6 27 18 25
6 27 19 25
6 28 12 25
6 28 13 25
6 28 14 25
6 28 15 25
6 28 16 25
6 28 17 25
6 28 18 25
6 28 19 25
6 28 20 25
6 28 21 25
6 29 14 25
6 29 15 25
6 29 16 25
6 29 17 25
6 29 18 25
6 29 19 25
6 29 20 25
6 29 21 25
6 29 22 25
6 29 23 25
6 30 16 25
6 30 17 25
6 30 18 25
6 30 19 25
6 30 20 25
6 30 21 25
6 30 22 25
6 30 23 25
6 30 24 25
6 31 18 25
6 31 19 25
6 31 20 25
6 31 21 25
6 31 22 25
6 31 23 25
6 31 24 25
6 32 20 25
6 32 21 25
6 32 22 25
6 32 23 25
6 32 24 25
8 27 10 26
8 27 11 26
8 27 12 26
8 27 13 26
8 27 14 26
8 27 15 26
8 27 16 26
8 27 17 26
8 27 18 26
8 27 19 26
8 28 12 26
8 28 13 26
8 28 14 26
8 28 15 26
8 28 16 26
8 28 17 26
8 28 18 26
8 28 19 26
8 28 20 26
8 28 21 26
8 29 14 26
8 29 15 26
8 29 16 26
8 29 17 26
8 29 18 26
8 29 19 26
8 29 20 26
8 29 21 26
8 29 22 26
8 29 23 26
8 30 16 26
8 30 17 26
8 30 18 26
8 30 19 26
8 30 20 26
8 30 21 26
8 30 22 26
8 30 23 26
8 30 24 26
8 31 18 26
8 31 19 26
8 31 20 26
8 31 21 26
8 31 22 26
8 31 23 26
8 31 24 26
8 32 20 26
8 32 21 26
8 32 22 26
8 32 23 26
8 32 24 26
10 28 12 27
10 28 13 27
10 28 14 27
10 28 15 27
10 28 16 27
10 28 17 27
10 28 18 27
10 28 19 27
10 28 20 27
10 28 21 27
10 29 14 27
10 29 15 27
10 29 16 27
10 29 17 27
10 29 18 27
10 29 19 27
10 29 20 27
10 29 21 27
10 29 22 27
10 29 23 27
10 30 16 27
10 30 17 27
10 30 18 27
10 30 19 27
10 30 20 27
10 30 21 27
10 30 22 27
10 30 23 27
10 30 24 27
10 31 18 27
10 31 19 27
10 31 20 27
10 31 21 27
10 31 22 27
10 31 23 27
10 31 24 27
10 32 20 27
10 32 21 27
10 32 22 27
10 32 23 27
10 32 24 27
12 29 14 28
12 29 15 28
12 29 16 28
12 29 17 28
12 29 18 28
12 29 19 28
12 29 20 28
12 29 21 28
12 29 22 28
12 29 23 28
12 30 16 28
12 30 17 28
12 30 18 28
12 30 19 28
12 30 20 28
12 30 21 28
12 30 22 28
12 30 23 28
12 30 24 28
12 31 18 28
12 31 19 28
12 31 20 28
12 31 21 28
12 31 22 28
12 31 23 28
12 31 24 28
12 32 20 28
12 32 21 28
12 32 22 28
12 32 23 28
12 32 24 28
14 30 16 29
14 30 17 29
14 30 18 29
14 30 19 29
14 30 20 29
14 30 21 29
14 30 22 29
14 30 23 29
14 30 24 29
14 31 18 29
14 31 19 29
14 31 20 29
14 31 21 29
14 31 22 29
14 31 23 29
14 31 24 29
14 32 20 29
14 32 21 29
14 32 22 29
14 32 23 29
14 32 24 29
16 31 18 30
16 31 19 30
16 31 20 30
16 31 21 30
16 31 22 30
16 31 23 30
16 31 24 30
16 32 20 30
16 32 21 30
16 32 22 30
16 32 23 30
16 32 24 30
18 32 20 31
18 32 21 31
18 32 22 31
18 32 23 31
18 32 24 31
