32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
655
# A B M N
6 26 7 25
5 26 8 25
4 26 9 25
3 26 10 25
2 26 11 25
1 26 12 25
6 27 9 25
5 27 10 25
4 27 11 25
3 27 12 25
2 27 13 25
1 27 14 25
6 28 11 25
5 28 12 25
4 28 13 25
3 28 14 25
2 28 15 25
1 28 16 25
6 29 13 25
5 29 14 25
4 29 15 25
3 29 16 25
2 29 17 25
1 29 18 25
6 30 15 25
5 30 16 25
4 30 17 25
3 30 18 25
2 30 19 25
1 30 20 25
6 31 17 25
5 31 18 25
4 31 19 25
3 31 20 25
2 31 21 25
1 31 22 25
6 32 19 25
5 32 20 25
4 32 21 25
3 32 22 25
2 32 23 25
1 32 24 25
8 27 9 26
7 27 10 26
6 27 11 26
5 27 12 26
4 27 13 26
3 27 14 26
2 27 15 26
1 27 16 26
8 28 11 26
7 28 12 26
6 28 13 26
5 28 14 26
4 28 15 26
3 28 16 26
2 28 17 26
1 28 18 26
8 29 13 26
7 29 14 26
6 29 15 26
5 29 16 26
4 29 17 26
3 29 18 26
2 29 19 26
1 29 20 26
8 30 15 26
7 30 16 26
6 30 17 26
5 30 18 26
4 30 19 26
3 30 20 26
2 30 21 26
1 30 22 26
8 31 17 26
7 31 18 26
6 31 19 26
5 31 20 26
4 31 21 26
3 31 22 26
2 31 23 26
1 31 24 26
8 32 19 26
7 32 20 26
6 32 21 26
5 32 22 26
4 32 23 26
3 32 24 26
10 28 11 27
9 28 12 27
8 28 13 27
7 28 14 27
6 28 15 27
5 28 16 27
4 28 17 27
3 28 18 27
2 28 19 27
1 28 20 27
10 29 13 27
9 29 14 27
8 29 15 27
7 29 16 27
6 29 17 27
5 29 18 27
4 29 19 27
3 29 20 27
2 29 21 27
1 29 22 27
10 30 15 27
9 30 16 27
8 30 17 27
7 30 18 27
6 30 19 27
5 30 20 27
4 30 21 27
3 30 22 27
2 30 23 27
1 30 24 27
10 31 17 27
9 31 18 27
8 31 19 27
7 31 20 27
6 31 21 27
5 31 22 27
4 31 23 27
3 31 24 27
10 32 19 27
9 32 20 27
8 32 21 27
7 32 22 27
6 32 23 27
5 32 24 27
12 29 13 28
11 29 14 28
10 29 15 28
9 29 16 28
8 29 17 28
7 29 18 28
6 29 19 28
5 29 20 28
4 29 21 28
3 29 22 28
2 29 23 28
12 30 15 28
11 30 16 28
10 30 17 28
9 30 18 28
8 30 19 28
7 30 20 28
6 30 21 28
5 30 22 28
4 30 23 28
3 30 24 28
12 31 17 28
11 31 18 28
10 31 19 28
9 31 20 28
8 31 21 28
7 31 22 28
6 31 23 28
5 31 24 28
12 32 19 28
11 32 20 28
10 32 21 28
9 32 22 28
8 32 23 28
7 32 24 28
14 30 15 29
13 30 16 29
12 30 17 29
11 30 18 29
10 30 19 29
9 30 20 29
8 30 21 29
7 30 22 29
6 30 23 29
5 30 24 29
14 31 17 29
13 31 18 29
12 31 19 29
11 31 20 29
10 31 21 29
9 31 22 29
8 31 23 29
7 31 24 29
14 32 19 29
13 32 20 29
12 32 21 29
11 32 22 29
10 32 23 29
9 32 24 29
16 31 17 30
15 31 18 30
14 31 19 30
13 31 20 30
12 31 21 30
11 31 22 30
10 31 23 30
9 31 24 30
16 32 19 30
15 32 20 30
14 32 21 30
13 32 22 30
12 32 23 30
11 32 24 30
18 32 19 31
17 32 20 31
16 32 21 31
15 32 22 31
14 32 23 31
13 32 24 31
5 26 7 25
4 26 7 25
3 26 7 25
2 26 7 25
1 26 7 25
5 27 9 25
4 27 9 25
3 27 9 25
2 27 9 25
1 27 9 25
5 28 11 25
4 28 11 25
3 28 11 25
2 28 11 25
1 28 11 25
5 29 13 25
4 29 13 25
3 29 13 25
2 29 13 25
1 29 13 25
5 30 15 25
4 30 15 25
3 30 15 25
2 30 15 25
1 30 15 25
5 31 17 25
4 31 17 25
3 31 17 25
2 31 17 25
1 31 17 25
5 32 19 25
4 32 19 25
3 32 19 25
2 32 19 25
1 32 19 25
7 27 9 26
6 27 9 26
5 27 9 26
4 27 9 26
3 27 9 26
2 27 9 26
1 27 9 26
7 28 11 26
6 28 11 26
5 28 11 26
4 28 11 26
3 28 11 26
2 28 11 26
1 28 11 26
7 29 13 26
6 29 13 26
5 29 13 26
4 29 13 26
3 29 13 26
2 29 13 26
1 29 13 26
7 30 15 26
6 30 15 26
5 30 15 26
4 30 15 26
3 30 15 26
2 30 15 26
1 30 15 26
7 31 17 26
6 31 17 26
5 31 17 26
4 31 17 26
3 31 17 26
2 31 17 26
1 31 17 26
7 32 19 26
6 32 19 26
5 32 19 26
4 32 19 26
3 32 19 26
2 32 19 26
1 32 19 26
9 28 11 27
8 28 11 27
7 28 11 27
6 28 11 27
5 28 11 27
4 28 11 27
3 28 11 27
2 28 11 27
1 28 11 27
9 29 13 27
8 29 13 27
7 29 13 27
6 29 13 27
5 29 13 27
4 29 13 27
3 29 13 27
2 29 13 27
1 29 13 27
9 30 15 27
8 30 15 27
7 30 15 27
6 30 15 27
5 30 15 27
4 30 15 27
3 30 15 27
2 30 15 27
1 30 15 27
