32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
578
# A B M N
5 25 1 2
5 25 2 3
5 25 3 4
5 25 6 7
5 25 7 8
5 25 8 9
5 25 9 10
5 25 10 11
5 25 11 12
5 25 12 13
5 25 13 14
5 25 14 15
5 25 15 16
5 25 16 17
5 25 17 18
5 25 18 19
5 25 19 20
5 25 20 21
5 25 21 22
5 25 22 23
5 25 23 24
5 25 1 4
5 25 6 9
5 25 7 10
5 25 8 11
5 25 9 12
5 25 10 13
5 25 11 14
5 25 12 15
5 25 13 16
5 25 14 17
5 25 15 18
5 25 16 19
5 25 17 20
5 25 18 21
5 25 19 22
5 25 20 23
5 25 21 24
5 25 6 11
5 25 7 12
5 25 8 13
5 25 9 14
5 25 10 15
5 25 11 16
5 25 12 17
5 25 13 18
5 25 14 19
5 25 15 20
5 25 16 21
5 25 17 22
5 25 18 23
5 25 19 24
5 25 6 13
5 25 7 14
5 25 8 15
5 25 9 16
5 25 10 17
5 25 11 18
5 25 12 19
5 25 13 20
5 25 14 21
5 25 15 22
5 25 16 23
5 25 17 24
5 25 6 15
5 25 7 16
5 25 8 17
5 25 9 18
5 25 10 19
5 25 11 20
5 25 12 21
5 25 13 22
5 25 14 23
5 25 15 24
5 25 6 17
5 25 7 18
5 25 8 19
5 25 9 20
5 25 10 21
5 25 11 22
5 25 12 23
5 25 13 24
7 26 1 2
7 26 2 3
7 26 3 4
7 26 4 5
7 26 5 6
7 26 8 9
7 26 9 10
7 26 10 11
7 26 11 12
7 26 12 13
7 26 13 14
7 26 14 15
7 26 15 16
7 26 16 17
7 26 17 18
7 26 18 19
7 26 19 20
7 26 20 21
7 26 21 22
7 26 22 23
7 26 23 24
7 26 1 4
7 26 2 5
7 26 3 6
7 26 8 11
7 26 9 12
7 26 10 13
7 26 11 14
7 26 12 15
7 26 13 16
7 26 14 17
7 26 15 18
7 26 16 19
7 26 17 20
7 26 18 21
7 26 19 22
7 26 20 23
7 26 21 24
7 26 1 6
7 26 8 13
7 26 9 14
7 26 10 15
7 26 11 16
7 26 12 17
7 26 13 18
7 26 14 19
7 26 15 20
7 26 16 21
7 26 17 22
7 26 18 23
7 26 19 24
7 26 8 15
7 26 9 16
7 26 10 17
7 26 11 18
7 26 12 19
7 26 13 20
7 26 14 21
7 26 15 22
7 26 16 23
7 26 17 24
7 26 8 17
7 26 9 18
7 26 10 19
7 26 11 20
7 26 12 21
7 26 13 22
7 26 14 23
7 26 15 24
7 26 8 19
7 26 9 20
7 26 10 21
7 26 11 22
7 26 12 23
7 26 13 24
9 27 1 2
9 27 2 3
9 27 3 4
9 27 4 5
9 27 5 6
9 27 6 7
9 27 7 8
9 27 10 11
9 27 11 12
9 27 12 13
9 27 13 14
9 27 14 15
9 27 15 16
9 27 16 17
9 27 17 18
9 27 18 19
9 27 19 20
9 27 20 21
9 27 21 22
9 27 22 23
9 27 23 24
9 27 1 4
9 27 2 5
9 27 3 6
9 27 4 7
9 27 5 8
9 27 10 13
9 27 11 14
9 27 12 15
9 27 13 16
9 27 14 17
9 27 15 18
9 27 16 19
9 27 17 20
9 27 18 21
9 27 19 22
9 27 20 23
9 27 21 24
9 27 1 6
9 27 2 7
9 27 3 8
9 27 10 15
9 27 11 16
9 27 12 17
9 27 13 18
9 27 14 19
9 27 15 20
9 27 16 21
9 27 17 22
9 27 18 23
9 27 19 24
9 27 1 8
9 27 10 17
9 27 11 18
9 27 12 19
9 27 13 20
9 27 14 21
9 27 15 22
9 27 16 23
9 27 17 24
9 27 10 19
9 27 11 20
9 27 12 21
9 27 13 22
9 27 14 23
9 27 15 24
9 27 10 21
9 27 11 22
9 27 12 23
9 27 13 24
11 28 1 2
11 28 2 3
11 28 3 4
11 28 4 5
11 28 5 6
11 28 6 7
11 28 7 8
11 28 8 9
11 28 9 10
11 28 12 13
11 28 13 14
11 28 14 15
11 28 15 16
11 28 16 17
11 28 17 18
11 28 18 19
11 28 19 20
11 28 20 21
11 28 21 22
11 28 22 23
11 28 23 24
11 28 1 4
11 28 2 5
11 28 3 6
11 28 4 7
11 28 5 8
11 28 6 9
11 28 7 10
11 28 12 15
11 28 13 16
11 28 14 17
11 28 15 18
11 28 16 19
11 28 17 20
11 28 18 21
11 28 19 22
11 28 20 23
11 28 21 24
11 28 1 6
11 28 2 7
11 28 3 8
11 28 4 9
11 28 5 10
11 28 12 17
11 28 13 18
11 28 14 19
11 28 15 20
11 28 16 21
11 28 17 22
11 28 18 23
11 28 19 24
11 28 1 8
11 28 2 9
11 28 3 10
11 28 12 19
11 28 13 20
11 28 14 21
11 28 15 22
11 28 16 23
11 28 17 24
11 28 1 10
11 28 12 21
11 28 13 22
11 28 14 23
11 28 15 24
11 28 12 23
11 28 13 24
13 29 1 2
13 29 2 3
13 29 3 4
13 29 4 5
13 29 5 6
13 29 6 7
13 29 7 8
13 29 8 9
13 29 9 10
13 29 10 11
13 29 11 12
13 29 14 15
13 29 15 16
13 29 16 17
13 29 17 18
13 29 18 19
13 29 19 20
13 29 20 21
13 29 21 22
13 29 22 23
13 29 23 24
13 29 1 4
13 29 2 5
13 29 3 6
13 29 4 7
13 29 5 8
13 29 6 9
13 29 7 10
13 29 8 11
13 29 9 12
13 29 14 17
13 29 15 18
13 29 16 19
13 29 17 20
13 29 18 21
13 29 19 22
13 29 20 23
13 29 21 24
13 29 1 6
13 29 2 7
13 29 3 8
13 29 4 9
13 29 5 10
13 29 6 11
