32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
578
# A B M N
13 29 7 12
13 29 14 19
13 29 15 20
13 29 16 21
13 29 17 22
13 29 18 23
13 29 19 24
13 29 1 8
13 29 2 9
13 29 3 10
13 29 4 11
13 29 5 12
13 29 14 21
13 29 15 22
13 29 16 23
13 29 17 24
13 29 1 10
13 29 2 11
13 29 3 12
13 29 14 23
13 29 15 24
13 29 1 12
15 30 1 2
15 30 2 3
15 30 3 4
15 30 4 5
15 30 5 6
15 30 6 7
15 30 7 8
15 30 8 9
15 30 9 10
15 30 10 11
15 30 11 12
15 30 12 13
15 30 13 14
15 30 16 17
15 30 17 18
15 30 18 19
15 30 19 20
15 30 20 21
15 30 21 22
15 30 22 23
15 30 23 24
15 30 1 4
15 30 2 5
15 30 3 6
15 30 4 7
15 30 5 8
15 30 6 9
15 30 7 10
15 30 8 11
15 30 9 12
15 30 10 13
15 30 11 14
15 30 16 19
15 30 17 20
15 30 18 21
15 30 19 22
15 30 20 23
15 30 21 24
15 30 1 6
15 30 2 7
15 30 3 8
15 30 4 9
15 30 5 10
15 30 6 11
15 30 7 12
15 30 8 13
15 30 9 14
15 30 16 21
15 30 17 22
15 30 18 23
15 30 19 24
15 30 1 8
15 30 2 9
15 30 3 10
15 30 4 11
15 30 5 12
15 30 6 13
15 30 7 14
15 30 16 23
15 30 17 24
15 30 1 10
15 30 2 11
15 30 3 12
15 30 4 13
15 30 5 14
15 30 1 12
15 30 2 13
15 30 3 14
17 31 1 2
17 31 2 3
17 31 3 4
17 31 4 5
17 31 5 6
17 31 6 7
17 31 7 8
17 31 8 9
17 31 9 10
17 31 10 11
17 31 11 12
17 31 12 13
17 31 13 14
17 31 14 15
17 31 15 16
17 31 18 19
17 31 19 20
17 31 20 21
17 31 21 22
17 31 22 23
17 31 23 24
17 31 1 4
17 31 2 5
17 31 3 6
17 31 4 7
17 31 5 8
17 31 6 9
17 31 7 10
17 31 8 11
17 31 9 12
17 31 10 13
17 31 11 14
17 31 12 15
17 31 13 16
17 31 18 21
17 31 19 22
17 31 20 23
17 31 21 24
17 31 1 6
17 31 2 7
17 31 3 8
17 31 4 9
17 31 5 10
17 31 6 11
17 31 7 12
17 31 8 13
17 31 9 14
17 31 10 15
17 31 11 16
17 31 18 23
17 31 19 24
17 31 1 8
17 31 2 9
17 31 3 10
17 31 4 11
17 31 5 12
17 31 6 13
17 31 7 14
17 31 8 15
17 31 9 16
17 31 1 10
17 31 2 11
17 31 3 12
17 31 4 13
17 31 5 14
17 31 6 15
17 31 7 16
17 31 1 12
17 31 2 13
17 31 3 14
17 31 4 15
17 31 5 16
19 32 1 2
19 32 2 3
19 32 3 4
19 32 4 5
19 32 5 6
19 32 6 7
19 32 7 8
19 32 8 9
19 32 9 10
19 32 10 11
19 32 11 12
19 32 12 13
19 32 13 14
19 32 14 15
19 32 15 16
19 32 16 17
19 32 17 18
19 32 20 21
19 32 21 22
19 32 22 23
19 32 23 24
19 32 1 4
19 32 2 5
19 32 3 6
19 32 4 7
19 32 5 8
19 32 6 9
19 32 7 10
19 32 8 11
19 32 9 12
19 32 10 13
19 32 11 14
19 32 12 15
19 32 13 16
19 32 14 17
19 32 15 18
19 32 20 23
19 32 21 24
19 32 1 6
19 32 2 7
19 32 3 8
19 32 4 9
19 32 5 10
19 32 6 11
19 32 7 12
19 32 8 13
19 32 9 14
19 32 10 15
19 32 11 16
19 32 12 17
19 32 13 18
19 32 1 8
19 32 2 9
19 32 3 10
19 32 4 11
19 32 5 12
19 32 6 13
19 32 7 14
19 32 8 15
19 32 9 16
19 32 10 17
19 32 11 18
19 32 1 10
19 32 2 11
19 32 3 12
19 32 4 13
19 32 5 14
19 32 6 15
19 32 7 16
19 32 8 17
19 32 9 18
19 32 1 12
19 32 2 13
19 32 3 14
19 32 4 15
19 32 5 16
19 32 6 17
19 32 7 18
