32
# X Y Z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
6.75 -8.0 0.0
9.75 -8.0 0.0
12.75 -8.0 0.0
15.75 -8.0 0.0
18.75 -8.0 0.0
21.75 -8.0 0.0
24.75 -8.0 0.0
27.75 -8.0 0.0
448
# A B M N
8 26 12 28
8 26 13 28
8 26 14 28
8 26 15 28
8 26 16 28
8 26 14 29
8 26 15 29
8 26 16 29
8 26 17 29
8 26 18 29
8 26 16 30
8 26 17 30
8 26 18 30
8 26 19 30
8 26 20 30
8 26 18 31
8 26 19 31
8 26 20 31
8 26 21 31
8 26 22 31
8 26 20 32
8 26 21 32
8 26 22 32
8 26 23 32
8 26 24 32
10 27 12 28
10 27 13 28
10 27 14 28
10 27 15 28
10 27 16 28
10 27 14 29
10 27 15 29
10 27 16 29
10 27 17 29
10 27 18 29
10 27 16 30
10 27 17 30
10 27 18 30
10 27 19 30
10 27 20 30
10 27 18 31
10 27 19 31
10 27 20 31
10 27 21 31
10 27 22 31
10 27 20 32
10 27 21 32
10 27 22 32
10 27 23 32
10 27 24 32
12 28 14 29
12 28 15 29
12 28 16 29
12 28 17 29
12 28 18 29
12 28 16 30
12 28 17 30
12 28 18 30
12 28 19 30
12 28 20 30
12 28 18 31
12 28 19 31
12 28 20 31
12 28 21 31
12 28 22 31
12 28 20 32
12 28 21 32
12 28 22 32
12 28 23 32
12 28 24 32
14 29 16 30
14 29 17 30
14 29 18 30
14 29 19 30
14 29 20 30
14 29 18 31
14 29 19 31
14 29 20 31
14 29 21 31
14 29 22 31
14 29 20 32
14 29 21 32
14 29 22 32
14 29 23 32
14 29 24 32
16 30 18 31
16 30 19 31
16 30 20 31
16 30 21 31
16 30 22 31
16 30 20 32
16 30 21 32
16 30 22 32
16 30 23 32
16 30 24 32
18 31 20 32
18 31 21 32
18 31 22 32
18 31 23 32
18 31 24 32
